Date,Open,High,Low,Close,Adj Close,Volume
2020-07-14,290000,291000,285000,287000,287000,1360849
2020-07-15,290500,293000,280500,286500,286500,1276196
2020-07-16,283000,285000,272000,273000,273000,1338814
2020-07-17,270000,279500,266000,276000,276000,926932
2020-07-20,276500,278000,260500,263000,263000,1556415
2020-07-21,273000,273500,269000,270000,270000,1179638
2020-07-22,264000,272500,261500,270000,270000,905784
2020-07-23,272000,284000,271000,284000,284000,1396607
2020-07-24,281000,290500,278500,281000,281000,1233584
2020-07-27,281000,287500,276500,284500,284500,691075
2020-07-28,289500,292000,284000,288000,288000,978238
2020-07-29,286000,292000,283000,292000,292000,964066
2020-07-30,296000,297500,291000,294000,294000,1150474
2020-07-31,299000,303000,296500,301000,301000,1567503
2020-08-03,301500,314500,299000,314500,314500,1341104
2020-08-04,317500,322000,307500,311000,311000,1330818
2020-08-05,312000,314500,306500,313500,313500,809939
2020-08-06,313000,322000,310500,322000,322000,1032045
2020-08-07,324500,325500,312000,314000,314000,1063254
2020-08-10,308500,314500,303500,313500,313500,956163
